Bandit,Reward,Algorithm
3,4.401608023547624,Epsilon-Greedy
3,3.9492319803052314,Epsilon-Greedy
3,5.036981373807848,Epsilon-Greedy
3,5.00291746965218,Epsilon-Greedy
3,3.3183454440468827,Epsilon-Greedy
3,4.344336936072945,Epsilon-Greedy
3,3.981294479450869,Epsilon-Greedy
3,4.261483255947379,Epsilon-Greedy
3,4.435262836384172,Epsilon-Greedy
3,2.656183512487286,Epsilon-Greedy
3,3.4085544608988254,Epsilon-Greedy
3,2.6743005828363584,Epsilon-Greedy
3,2.826037353469203,Epsilon-Greedy
3,5.520473681099538,Epsilon-Greedy
3,4.567871574428894,Epsilon-Greedy
3,2.5838581689983586,Epsilon-Greedy
3,2.465125399613922,Epsilon-Greedy
3,4.383976962198052,Epsilon-Greedy
3,4.254468020043382,Epsilon-Greedy
3,4.555576430572004,Epsilon-Greedy
3,5.477559808036402,Epsilon-Greedy
3,2.1231315344649695,Epsilon-Greedy
3,5.1988827325185945,Epsilon-Greedy
3,3.5111195286890777,Epsilon-Greedy
3,4.110782381354646,Epsilon-Greedy
3,4.944077647838442,Epsilon-Greedy
3,2.272626940959139,Epsilon-Greedy
3,3.891795158904522,Epsilon-Greedy
3,4.343803015257494,Epsilon-Greedy
3,3.8448893095500214,Epsilon-Greedy
3,3.034139865351061,Epsilon-Greedy
3,2.208865059964637,Epsilon-Greedy
3,3.7562389988520284,Epsilon-Greedy
3,3.8770413007705846,Epsilon-Greedy
3,3.3540471408673977,Epsilon-Greedy
3,5.508784685684406,Epsilon-Greedy
3,3.072402667617695,Epsilon-Greedy
3,7.136874192114541,Epsilon-Greedy
3,3.1210385306193897,Epsilon-Greedy
3,3.89909232481652,Epsilon-Greedy
3,3.166073239820042,Epsilon-Greedy
3,3.82723635448433,Epsilon-Greedy
3,1.9800082692774836,Epsilon-Greedy
3,3.346860901474157,Epsilon-Greedy
3,5.676542359268862,Epsilon-Greedy
3,3.071786274375158,Epsilon-Greedy
3,1.7011745064098847,Epsilon-Greedy
3,1.1518835843526394,Epsilon-Greedy
3,3.3368037231067094,Epsilon-Greedy
3,5.948803069202686,Epsilon-Greedy
3,4.138564484095927,Epsilon-Greedy
3,4.141741729913055,Epsilon-Greedy
